性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我想我会惊恐发作。,我很害怕今天得到结果。,我感到很焦虑，我认为我无法应付。,,,,,,,你认为至少你的一些焦虑可能是因为你有责任拯救别人吗？,好的，谢谢你的回答。你认为你的负面情绪是由别人对你的行为引起的吗？,您是否可能因为觉得别人做了您应该更多控制的事情而感到焦虑？,当事情出错时，你总是认为是你自己的错吗？,请回想一下之前与其他人的对话。在你之前的谈话中，你是否考虑过对方的观点，即使他们与你自己的不同？,当人们的个人生活不顺利时，人们变得焦虑是很常见的。您的个人生活是否比平时压力更大（例如，与亲人或朋友的问题）？,在世界之巅，伙计！,不能更快乐。,事情进展得很顺利，谢谢。,很高兴听到你感觉很好。你目前的幸福状态真的会给你一个很好的基础来尝试一种协议，它可以帮助你巩固和建立你生活中的积极因素，帮助你最大限度地发挥幸福的潜力，我们可以试试吗？,感谢您的回答。在我看来，您现在是 {}，该描述与您的感受相符吗？,对不起，我真的很想了解你的感受。您能帮我从列表中选择最符合您感受的选项吗？,非常感谢您参加本次会议，我非常感谢您的时间和您提供的深思熟虑的意见，希望本次会议对您有所帮助。我期待很快再次见到你，保重。,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感觉不太好。我非常焦虑和不安。,不是很好。我担心我的安全。,我想有人一直在跟踪我，我很害怕。,,,,,,,您是否认为您可能正在寻求改变某人而不是专注于自己？,有时我们可能会觉得其他人要为我们的感受负责。您认为现在有人正在引起您的焦虑吗？,很难接受我们无法控制他人的想法或行为。你最近有没有发现自己试图控制某人？请放心，我不会因此评判你。,你认为你总是对自己很苛刻吗？,您是否同意对同一主题的不同看法可以为我们打开其他可能性？,生活中是否有任何重大事件让您感到焦虑？,我感觉很棒。,我现在很开心。,目前对我来说一切都很顺利。,伟大的！如果您愿意，让我们通过协议来探索更多关于这些感受的信息。,如果我理解正确，您的感受是 {}，这是否足够准确地描述它？,我很抱歉。让我们来看看这个列表，看看什么最能反映你现在的感受。,很高兴与您交谈，感谢您抽出宝贵时间。暂时再见。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我不舒服。我正在为即将到来的考试感到压力。,我很害怕，虐待我的前任试图再次联系我。,我很紧张，我的课堂报告是明天，我讨厌在人群面前演讲。,,,,,,,我可以理解你现在的感受，并想看看这里是否有更深层次的因素在起作用。你认为自己是那种想要或需要拯救他人的人吗？,你是否觉得你现在的感受不应该归咎于你，而某人或某事是原因？,您是否觉得您现在可能正在尝试影响生活中的其他人？,当事情不顺利时，您是否总是觉得自己将所有责任都归咎于自己？,在与他人交谈时，您是否觉得自己考虑了他们的意见？,我想知道你生活中的其他事情和人际关系现在进展如何。您目前是否正在经历一个特别艰难的时期，或者正面临重大问题？,我很好，谢谢！刚刚开始我的假期，很放松。,伟大的！我的考试成绩出炉了，我考得很好！,很好，能够在周末探望家人，并与他们共进晚餐。,精彩的！如果您愿意，我可以推荐一个协议来帮助您感觉更好。,根据您告诉我的情况，您感觉 {} 是这样吗？,我很抱歉。如果可以，请从以下列表中选择，告诉我您的感受：,谢谢，感谢您的合作。很快再见！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天有点着急，等待一些结果,我害怕我会失败,我很担心会发生什么,,,,,,,谢谢你。您是否觉得其他人过于依赖您的支持？,谢谢你让我知道。你认为别人的行为让你有这种感觉吗？,谢谢，我明白了。您是否发现自己想要引导他人的行为或行动朝着正确的方向发展？,我只想询问您可能正在经历的任何罪责感。你是不是总觉得一切都是你的错？,我明白了，谢谢你，以及你如何与他人相处。你能不能坦率地说，你考虑到了别人的感受，仔细倾听了他们对你说的话？,再次感谢您，我只是想确保一切正常。最近生活中有没有让你感到困扰的部分？,我很好，非常感谢，我度过了愉快的一天,我感觉棒极了，我刚刚减掉了一件衣服尺码,当然，锻炼后我感到精力充沛,太棒了，总是很高兴听到。你想让我给你一个协议，让你感觉更满足吗？,我觉得你今天感觉很{}，是吗？,我很抱歉，我不是故意误判的。你有这些情绪吗？如果是这样，请通过选择它让我知道：,非常感谢你跟我说话。我期待很快再次发言。,,,,,
男性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到压力很大。我有太多太多的事情要做，但时间太少了。,我对即将到来的医生预约感到焦虑。,我担心我不会通过我的驾驶考试。,,,,,,,是不是您觉得有必要尝试拯救他人，而这可能是您感到焦虑的根源？,是不是你觉得你的负面情绪可能要归咎于其他人，这会导致你的焦虑？,谢谢你，我想帮助你感觉好些，因为我知道焦虑很难。您是否有可能试图控制某人，这是否会导致您感到压力很大？,我会尽力提供更多帮助，如果你觉得没问题，因为我看到了你的痛苦。会不会是你对自己太苛刻了，出事时总是自责自责？,我想知道，您是否尝试过仔细聆听并考虑您所爱的人提出的其他观点？,也许你的压力源于你个人正在经历的一些困难。您在与亲人或朋友相处时遇到任何困难吗？,我今天感觉很好，谢谢！,今天感觉很满足，谢谢！,我今天感到非常幸福和感激，谢谢。,哦，我很高兴听到这个消息！感觉快乐/满足是我们都想保持的东西，所以我可以推荐一个治疗方案，你可以用来增强和保持这种积极的感觉吗？,现在，我想澄清一下您的感受是 {}，对吗？,对于误解您的实际感受，我深表歉意。请您从下面的情绪中选择最能反映您的感受的情绪，以便我更好地理解它？,非常感谢您在本次会议期间的时间和合作。我期待很快的另一场会议。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我担心我的工作,我的孩子生病了,我没钱,,,,,,,你有时会觉得你是在试图拯救每个人吗？,你是否因为自己的感受而以任何方式责备他人？,你认为你的行为方式有可能被解释为控制吗？,您是否认为当事情不顺利时，您可能总是在责备自己？,你是否总是倾听生活中的人的意见，并在与他们交谈时考虑他们对事情的看法？,谢谢，我想更多地了解您的总体感受。您目前是否有任何机会遇到个人困难？,太好了，我刚中了乐透,太好了，今天是我的生日,太棒了，我刚升职,这真是太棒了。你想尝试一个协议吗？,谢谢你。我的印象是你感觉{}，对吗？,对于那个很抱歉。请阅读以下情绪并选择最适合您的感受：,我很高兴你参加了今天的会议。一会儿再说。,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到有点压力，因为我必须在全校面前演讲。,我确实感到有点焦虑，因为我即将做一些我以前从未做过的事情。,今天我有点害怕我今天晚些时候的考试成绩不会有好成绩。,,,,,,,您是否觉得自己必须成为他人的救星，还是他人总是期待您的帮助？,您是否觉得好像是其他人造成了您的负面情绪？,你是否感觉好像你需要控制别人，因为你觉得自己失去了控制？,你是否总是觉得你的负面感受或经历是你自己的错？,你总是愿意听取别人的建议吗？,你现在有特别困难的时候吗？你觉得你需要帮助吗？,非常好。,我很好。,优秀的。,很好，让我们找到一种方法来保持这种感觉！我可以推荐一个协议供您尝试吗？,您今天似乎感觉{}，这是否足以准确描述您的感受？,我很抱歉。您想通过自己选择来帮助我了解您的感受吗？,我很感激你和我一起度过了这段时间。我希望很快能见到你。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我现在无法回答，需要离开。,你问我这个干嘛？,我非常担心气候变化,,,,,,,你认为你有什么重要的东西可以提供给别人吗？,你是否因为你觉得别人对你做过的事情而受伤？,你有没有可能强迫别人，也许是你关心的人，按照你想要的方式行事？,当您认为事情不顺利时，您是否觉得自己可能总是在无意中伤害自己？,回想起来，你是否一直试图把自己放在别人的位置上？,在这个困难时期，您是否觉得您崇拜和关心的人不了解您正在经历的事情？,生活很好。,活着真是神奇的一天！,又是美好的一天。,真是太好听了！您想尝试一种符合您心情的协议吗？我希望它可以激励你，让你的一天更加明亮。,感谢您对我的信任并分享您的感受。如果我理解正确，您现在感觉{}，您会说这是真的吗？,我的错。你能通过从下面的列表中选择正确的情绪来告诉我你的感受吗？,感谢你今天勇敢地分享你的感受，我很感激。我期待我们的下一次会议。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感觉很糟糕，我的焦虑来自屋顶。,太可怕了我做了一个非常可怕的梦，这让我感到非常焦虑。,我没事，只是对未来有些担忧。,,,,,,,你觉得你想拯救别人并让他们感觉更好吗？,你是否觉得别人故意让你感觉不好？,您最近是否发现自己想要更多地控制他人，或者希望您可以改变他们的行为？,你是否觉得你总是让自己成为事情出错的原因？,你会说你一直乐于听取别人的意见吗？,你生活中现在有没有什么大事让你有这种感觉？,我今天感觉很棒！谢谢你。,今天是个好日子，你好吗？,我今天感觉真好！,那太棒了！为了保持这种状态，我可以向您展示一个您可以执行的协议吗？,我可以看出您可能会感觉到 {}，这准确吗？,对不起。请从这个列表中选出你感受到的情绪，帮助我理解：,非常感谢您今天的诚实和努力，非常感谢。很快再见！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我不喜欢在人群中，这让我真的很焦虑，有点害怕,我刚刚惊恐发作，感觉很糟糕,我颤抖着，有一种恐惧的感觉,,,,,,,你是不是总觉得必须把别人放在自己之前？,最近，你是否觉得人们“想要抓住你”？,您是否觉得对其他人负责，以至于您可能试图改变或纠正他们的行为？,您是否总是觉得出现问题是您的错？,你觉得别人的意见有道理，你听他们的吗？,你的生活中有什么特别紧张的事情吗？,充满希望,兴奋的,伟大的,如果您有兴趣，我认为您会喜欢的协议。,感谢您的开放和与我分享。你今天看起来像 {}，你也会这么说吗？,对不起。请告诉我你的真实感受。,我真的很感谢你和我说话，谈论一个人的感受需要勇气。我期待与您再次交谈！,,,,,
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到压力和担心，因为我的生意下降了,由于covid-19，我的健康状况恶化，我非常担心,由于一些财务问题，我感到非常焦虑,,,,,,,我知道您今天感觉不舒服，想进一步调查是什么困扰着您。你有这种感觉是因为你试图帮助你关心的人吗？,有没有人伤害过你，或者担心过你，你是否因为他们给你带来了这么多麻烦而对他们感到不安？,也许你是想帮助太多，而这个人不会听你的？,谢谢你。这里没有正确或错误的答案，探索事物是好的。当事情不像你想要的那样发展时，你认为你总是要负责吗？,你认为你已经足够仔细地倾听了别人一直试图告诉你的事情吗？,你现在一定很困难，所以我想知道有没有什么大事发生。在你的生活中，有没有什么事情感觉比平常更重要？,这是美好的一天，我感觉很棒。,昨晚我睡得很好，我感到平静和休息，精神状态最好。,我感觉很好，谢谢，你好吗？,很高兴看到你今天如此积极。我可以推荐一个适合您当前心情的协议吗？,感谢您与我分享您的想法。我有一种感觉，你是 {}，是这样吗？,抱歉，有时很难准确评估别人的感受。您想从这份清单中挑选出您正在感受的情绪吗？,我要感谢您今天与我分享您的想法和感受。我真的很想很快再见到你，所以请你有空的时候过来看看。,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,谢谢你的提问，今天很困难，有点焦虑，它变成了恐惧,此刻焦虑和恐惧加剧了，谢谢你想我。,我继续与我的焦虑作斗争，这是我内心不断的恐惧,,,,,,,我真的很想更多地了解你此刻的生活。你是不是总觉得你必须在意或拯救别人？,好的我明白了。您是否在生活中感受到其他人的压力，或以任何方式受到伤害？,您是否正在体验一种控制感，例如想要控制某个情况或某个人？,当情况出现问题时，您是否觉得自己总是要承担责任？,您是否完全了解您当前情况的另一面，您是否知道或曾经考虑过对他人的影响？,这是您目前生活中特别具有挑战性的时期吗？,世界之巅,再飞一次，谢天谢地,内容与我的很多,杰出的！我们可以看看一些现在可以尝试的协议吗？,感谢你的分享。我相信您是 {}，我这样说是否正确？,哦，对不起。那么最好说你是：,非常感谢您无偿地付出时间。我很快就会再见到你。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,老实说，我今天感到压力很大，我担心我在面试中表现不佳，然后我又回到了原点。,不错，谢谢，有点紧张，害怕我不会得到这份工作，只是跑掉了工厂的神经。,更好的伙伴，在这次重要的工作面试中压力很大，我真的需要这份工作，我知道这对我来说是完美的。,,,,,,,首先，让我告诉你，我完全理解你来自哪里以及拥有这些感觉是什么感觉。我想知道，在你的内心深处，你认为总是把别人放在第一位是合理的还是健康的？,说别人经常对你的负面情绪和想法负责，你对此有些无能为力，是否公平？,是否可能是您潜意识地试图引导或指导他人的行为？,你相信当事情没有按计划进行时你应该总是对自己严格吗？,请帮助我理解，因为我想尽我所能支持你。你觉得你通常善于考虑别人的观点吗？,说您目前在个人生活中遇到困难的情况是否准确，例如与亲人或朋友的关系？,我做得很好，谢谢你的提问！,很好，谢谢，你自己呢？,很长一段时间以来我第一次说我对事情感觉非常好。,这是一种很棒的感觉。我可以建议一个协议来帮助增强和保持良好的感觉，它可能真的有帮助吗？,如果我理解正确，您会认为是 {}，这是一个公平的评估吗？,哦，糟糕，对不起；我误解了信号。为避免进一步混淆，请从以下最能反映您当前感受的情绪中选择：,您的参与非常宝贵，非常感谢您的参与。我希望很快能见到你。,,,,,
